Species,SSPModel,ElevationRange,ElevationRangeNumeric,PercentSuitableHabitat
Poly,zzssp370L,C,"""800-1200""",25.48943443
Poly,Ahist,C,"""800-1200""",71.23990056
Poly,Current,C,"""800-1200""",79.97203232
Rhy,ssp245E,C,"""800-1200""",86.40459913
Rhy,zzssp245L,C,"""800-1200""",70.56401492
Rhy,ssp370E,C,"""800-1200""",75.24083282
Rhy,zzssp370L,C,"""800-1200""",23.52392791
Rhy,Ahist,C,"""800-1200""",99.84462399
Rhy,Current,C,"""800-1200""",99.922312
Tetra,zzssp245L,C,"""800-1200""",99.9378496
Tetra,ssp245E,C,"""800-1200""",98.51615911
Tetra,ssp370E,C,"""800-1200""",96.7992542
Tetra,zzssp370L,C,"""800-1200""",79.55251709
Tetra,Ahist,C,"""800-1200""",99.83685519
Tetra,Current,C,"""800-1200""",99.9378496
Thuid,ssp245E,C,"""800-1200""",91.83499068
Thuid,zzssp245L,C,"""800-1200""",81.12181479
Thuid,ssp370E,C,"""800-1200""",89.50435053
Thuid,zzssp370L,C,"""800-1200""",58.68551896
Thuid,Ahist,C,"""800-1200""",99.31634556
Thuid,Current,C,"""800-1200""",99.65817278
Atrichum,ssp245E,D,""">1200""",86.44278607
Atrichum,zzssp245L,D,""">1200""",84.82587065
Atrichum,ssp370E,D,""">1200""",83.08457711
Atrichum,zzssp370L,D,""">1200""",79.29104478
Atrichum,Ahist,D,""">1200""",98.38308458
Atrichum,Current,D,""">1200""",96.64179104
Broth,ssp245E,D,""">1200""",97.76119403
Broth,zzssp245L,D,""">1200""",96.82835821
Broth,ssp370E,D,""">1200""",97.07711443
Broth,zzssp370L,D,""">1200""",96.39303483
Broth,Ahist,D,""">1200""",99.37810945
Broth,Current,D,""">1200""",99.75124378
Bryhnia,ssp245E,D,""">1200""",97.76119403
Bryhnia,zzssp245L,D,""">1200""",96.82835821
Bryhnia,ssp370E,D,""">1200""",97.07711443
Bryhnia,zzssp370L,D,""">1200""",95.39800995
Bryhnia,Ahist,D,""">1200""",99.37810945
Bryhnia,Current,D,""">1200""",99.75124378
Dicrano,ssp245E,D,""">1200""",93.22139303
Dicrano,zzssp245L,D,""">1200""",92.84825871
Dicrano,ssp370E,D,""">1200""",86.1318408
Dicrano,zzssp370L,D,""">1200""",70.460199
Dicrano,Ahist,D,""">1200""",98.6318408
Dicrano,Current,D,""">1200""",98.13432836
Dicranum,ssp245E,D,""">1200""",97.76119403
Dicranum,zzssp245L,D,""">1200""",96.82835821
Dicranum,ssp370E,D,""">1200""",97.01492537
Dicranum,zzssp370L,D,""">1200""",94.02985075
Dicranum,Ahist,D,""">1200""",99.19154229
Dicranum,Current,D,""">1200""",99.75124378
Hyp,ssp245E,D,""">1200""",95.89552239
Hyp,zzssp245L,D,""">1200""",89.36567164
Hyp,ssp370E,D,""">1200""",92.97263682
Hyp,zzssp370L,D,""">1200""",58.58208955
Hyp,Ahist,D,""">1200""",99.44029851
Hyp,Current,D,""">1200""",99.75124378
