"","diff","lwr","upr","p adj"
"ssp245E:B-Ahistorical:B",-33.1045270539999,-65.2313446331947,-0.977709474805103,0.0348290293775821
"ssp370E:B-Ahistorical:B",-43.1891792422999,-75.3159968214947,-11.0623616631051,0.000367040334426139
"zz245L:B-Ahistorical:B",-40.3330879642999,-72.4599055434947,-8.20627038510508,0.00152474684752013
"zz370L:B-Ahistorical:B",-59.5049687158999,-91.6317862950947,-27.3781511367051,2.38641468808254e-08
"Ahistorical:C-Ahistorical:B",25.717209019,-6.40960856019481,57.8440265981948,0.336572913601298
"Current:C-Ahistorical:B",26.916754214,-5.21006336519477,59.0435717931948,0.252097169817081
"ssp245E:C-Ahistorical:B",16.4107849170001,-15.7160326621947,48.5376024961949,0.969702640385692
"ssp370E:C-Ahistorical:B",9.78201857100012,-22.3447990081947,41.9088361501949,0.99998521152003
"zz245L:C-Ahistorical:B",10.6802562060001,-21.4465613731947,42.8070737851949,0.999931809204674
"zz370L:C-Ahistorical:B",-22.6398120143999,-54.7666295935947,9.48700556479491,0.600366353592269
"Ahistorical:D-Ahistorical:B",33.557915429,1.43109784980518,65.6847330081948,0.0292900758076443
"Current:D-Ahistorical:B",34.974224443,2.84740686380519,67.1010420221948,0.0166875117053246
"ssp245E:D-Ahistorical:B",31.7982587760001,-0.328558803194738,63.9250763551949,0.056247305754227
"ssp370E:D-Ahistorical:B",29.4806622090001,-2.64615537019471,61.6074797881949,0.121856853100872
"zz245L:D-Ahistorical:B",30.5107051280001,-1.61611245119474,62.6375227071949,0.0875330319799518
"zz370L:D-Ahistorical:B",19.9956836710001,-12.1311339081947,52.1225012501949,0.814793571032926
"ssp245E:B-Current:B",-38.8682370269999,-70.9950546061947,-6.74141944780509,0.00304722076862818
"ssp370E:B-Current:B",-48.9528892152999,-81.0797067944947,-16.8260716361051,1.5908160245659e-05
"zz245L:B-Current:B",-46.0967979372999,-78.2236155164947,-13.9699803581051,7.85352644981918e-05
"zz370L:B-Current:B",-65.2686786888999,-97.3954962680947,-33.1418611097051,4.87686557804068e-10
"Ahistorical:C-Current:B",19.953499046,-12.1733185331948,52.0803166251948,0.817651006627551
"Current:C-Current:B",21.153044241,-10.9737733381948,53.2798618201949,0.728184501552276
"ssp245E:C-Current:B",10.6470749440001,-21.4797426351947,42.7738925231949,0.999935316772576
"ssp370E:C-Current:B",4.01830859800013,-28.1085089811947,36.1451261771949,1
"zz245L:C-Current:B",4.91654623300012,-27.2102713461947,37.0433638121949,0.999999999985173
"zz370L:C-Current:B",-28.4035219873999,-60.5303395665947,3.72329559179492,0.168280647420141
"Ahistorical:D-Current:B",27.794205456,-4.33261212319481,59.9210230351948,0.199784531738447
"Current:D-Current:B",29.21051447,-2.9163031091948,61.3373320491948,0.13243311591262
"ssp245E:D-Current:B",26.0345488030001,-6.09226877619473,58.1613663821949,0.312840965351331
"ssp370E:D-Current:B",23.7169522360001,-8.4098653431947,55.8437698151949,0.503889229031505
"zz245L:D-Current:B",24.7469951550001,-7.37982242419473,56.8738127341949,0.414500531455656
"zz370L:D-Current:B",14.2319736980001,-17.8948438811947,46.3587912771949,0.994612115245175
"ssp370E:B-ssp245E:B",-10.0846521883,-42.2114697674948,22.0421653908948,0.99997465623181
"zz245L:B-ssp245E:B",-7.22856091029998,-39.3553784894948,24.8982566688948,0.999999953072708
"zz370L:B-ssp245E:B",-26.4004416619,-58.5272592410948,5.72637591729483,0.286686350412068
"Ahistorical:C-ssp245E:B",58.8217360729999,26.6949184938051,90.9485536521947,3.73002856379756e-08
"Current:C-ssp245E:B",60.0212812679999,27.8944636888051,92.1480988471947,1.69917855341595e-08
"ssp245E:C-ssp245E:B",49.515311971,17.3884943918052,81.6421295501948,1.15124879196404e-05
"ssp370E:C-ssp245E:B",42.886545625,10.7597280458052,75.0133632041948,0.000428710222741824
"zz245L:C-ssp245E:B",43.78478326,11.6579656808052,75.9116008391948,0.000269585174273335
"zz370L:C-ssp245E:B",10.4647150396,-21.6621025395948,42.5915326187948,0.999951842732201
"Ahistorical:D-ssp245E:B",66.6624424829999,34.5356249038051,98.7892600621947,1.8460966089151e-10
"Current:D-ssp245E:B",68.0787514969999,35.9519339178051,100.205569076195,6.80606682124107e-11
"ssp245E:D-ssp245E:B",64.90278583,32.7759682508052,97.0296034091948,6.2816674084587e-10
"ssp370E:D-ssp245E:B",62.585189263,30.4583716838052,94.7120068421948,3.063885034571e-09
"zz245L:D-ssp245E:B",63.615232182,31.4884146028052,95.7420497611948,1.52121204521904e-09
"zz370L:D-ssp245E:B",53.100210725,20.9733931458052,85.2270283041948,1.37333250660454e-06
"zz245L:B-ssp370E:B",2.85609127799999,-29.2707263011948,34.9829088571948,1
"zz370L:B-ssp370E:B",-16.3157894736,-48.4426070527948,15.8110281055948,0.971574834220272
"Ahistorical:C-ssp370E:B",68.9063882612999,36.7795706821051,101.033205840495,3.78310716087071e-11
"Current:C-ssp370E:B",70.1059334562999,37.9791158771051,102.232751035495,1.60805813109732e-11
"ssp245E:C-ssp370E:B",59.5999641593,27.4731465801052,91.7267817384948,2.24215687127938e-08
"ssp370E:C-ssp370E:B",52.9711978133,20.8443802341052,85.0980153924948,1.48531984378586e-06
"zz245L:C-ssp370E:B",53.8694354483,21.7426178691052,85.9962530274948,8.58181544272085e-07
"zz370L:C-ssp370E:B",20.5493672279,-11.5774503512948,52.6761848070948,0.775232652337697
"Ahistorical:D-ssp370E:B",76.7470946712999,44.6202770921051,108.873912250495,2.44693154627385e-13
"Current:D-ssp370E:B",78.1634036852999,46.0365861061051,110.290221264495,1.57207580286922e-13
"ssp245E:D-ssp370E:B",74.9874380182999,42.8606204391051,107.114255597495,5.6576965334898e-13
"ssp370E:D-ssp370E:B",72.6698414513,40.5430238721052,104.796659030495,2.61179966543068e-12
"zz245L:D-ssp370E:B",73.6998843702999,41.5730667911051,105.826701949495,1.29274368987353e-12
"zz370L:D-ssp370E:B",63.1848629133,31.0580453341052,95.3116804924948,2.03982986057838e-09
"zz370L:B-zz245L:B",-19.1718807516,-51.2986983307948,12.9549368275948,0.866241023505081
"Ahistorical:C-zz245L:B",66.0502969832999,33.9234794041051,98.1771145624947,2.83217671537273e-10
"Current:C-zz245L:B",67.2498421782999,35.1230245991051,99.3766597574947,1.22203358543516e-10
"ssp245E:C-zz245L:B",56.7438728813,24.6170553021052,88.8706904604948,1.42156991511655e-07
"ssp370E:C-zz245L:B",50.1151065353,17.9882889561052,82.2419241144948,8.12883318623836e-06
"zz245L:C-zz245L:B",51.0133441703,18.8865265911052,83.1401617494948,4.79859325364096e-06
"zz370L:C-zz245L:B",17.6932759499,-14.4335416292948,49.8200935290948,0.934356435670231
"Ahistorical:D-zz245L:B",73.8910033932999,41.7641858141051,106.017820972495,1.13642428800631e-12
"Current:D-zz245L:B",75.3073124072999,43.1804948281051,107.434129986495,4.80060435847918e-13
"ssp245E:D-zz245L:B",72.1313467403,40.0045291611052,104.258164319495,3.81106257663077e-12
"ssp370E:D-zz245L:B",69.8137501733,37.6869325941052,101.940567752495,1.9817703034164e-11
"zz245L:D-zz245L:B",70.8437930923,38.7169755131052,102.970610671495,9.50262091237164e-12
"zz370L:D-zz245L:B",60.3287716353,28.2019540561052,92.4555892144948,1.38680729122598e-08
